publicationId,title,year,facultyRelationships,reviewDecision,visibilityAfterPublish,reviewNotes
estimation-of-chlorophyll-a-concentration-in-sampaloc-lake-using-uas-multispec-c37d299b,Estimation of chlorophyll-a concentration in Sampaloc Lake using Uas multispectral remote sensing and regression analysis,2019,ariel-c-blanco,pending-review,internal,
geospatial-and-clustering-analysis-of-dengue-cases-using-self-organizing-maps-0b15e330,"Geospatial and Clustering Analysis of dengue cases using self-organizing maps: case of Quezon City, 2010–2015",2019,ariel-c-blanco,pending-review,internal,
geospatial-assessment-and-modeling-of-urban-heat-islands-in-quezon-city-philip-7a4ded74,"Geospatial assessment and modeling of urban heat islands in Quezon City, Philippines using ols and geographically weighted regression",2019,ariel-c-blanco|john-emmanuel-d-escoto,pending-review,internal,Deduplicated from 2 identical title/year source rows.
geospatial-assessment-of-vulnerabilities-of-croplands-to-flooding-risks-a-case-51c1371b,Geospatial assessment of vulnerabilities of croplands to flooding risks: A case study of Philippine river basins,2019,ariel-c-blanco,pending-review,internal,
geostatistics-for-air-quality-mapping-case-of-baguio-city-philippines-2019-6f6b0e60,"Geostatistics for air quality mapping: Case of Baguio City, Philippines",2019,ariel-c-blanco,pending-review,internal,
gis-assisted-rain-induced-landslide-susceptibility-mapping-of-benguet-using-a-43d54ed1,Gis-Assisted Rain-Induced Landslide Susceptibility Mapping of Benguet Using a Logistic Regression Model,2019,ariel-c-blanco,pending-review,internal,
gis-based-mapping-of-local-climate-zones-using-fuzzy-logic-and-cellular-automa-3d043db6,GIS-based mapping of local climate zones using fuzzy logic and cellular automata,2019,ariel-c-blanco|john-emmanuel-d-escoto,pending-review,internal,Deduplicated from 2 identical title/year source rows.
historical-and-current-distribution-of-mangroves-in-the-philippines-spatio-tem-7a93061d,Historical and current distribution of mangroves in the Philippines: spatio-temporal analysis,2019,ariel-c-blanco,pending-review,internal,
hydropower-dam-site-selection-and-visualization-using-gis-and-rs-techniques-a-808f4451,"Hydropower dam site selection and visualization using GIS and RS techniques: a case of Marinduque, Philippines",2019,ariel-c-blanco,pending-review,internal,
ideal-kiosk-placement-in-up-diliman-for-equal-probability-of-customer-turnout-7a337d2e,Ideal Kiosk Placement in up Diliman for Equal Probability of Customer Turnout,2019,ariel-c-blanco,pending-review,internal,
illuminance-mapping-of-nighttime-road-environment-using-unmanned-aerial-system-96332d92,Illuminance mapping of nighttime road environment using unmanned aerial system,2019,ariel-c-blanco,pending-review,internal,
indoorgml-based-topological-data-generation-from-omnidirectional-images-2019-626ce089,IndoorGML-based Topological Data Generation from Omnidirectional Images,2019,ariel-c-blanco,pending-review,internal,
intra-urban-heat-island-detection-and-trend-characterization-in-metro-manila-u-e7f8c833,Intra-urban heat island detection and trend characterization in Metro Manila using surface temperatures derived from multi-temporal Landsat data,2019,ariel-c-blanco,pending-review,internal,
linear-spectral-unmixing-of-sentinel-3-imagery-for-urban-land-cover-land-surfa-19ceb06c,"Linear spectral unmixing of Sentinel-3 imagery for urban land cover-land surface temperature (LST) analysis: a case study of metro Manila, Philippines",2019,ariel-c-blanco,pending-review,internal,
mapping-of-blue-carbon-ecosystems-effect-of-proximity-activity-types-and-frequ-fbf8766b,"Mapping of blue carbon ecosystems: effect of proximity, activity types and frequency of visits in the accuracy of participatory maps",2019,ariel-c-blanco,pending-review,internal,
mapping-of-sargassum-distribution-in-the-eastern-coast-of-southern-leyte-using-acb48e0d,MAPPING OF SARGASSUM DISTRIBUTION IN THE EASTERN COAST OF SOUTHERN LEYTE USING SENTINEL 2 SATELLITE IMAGERY,2019,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
offshore-submarine-groundwater-discharge-at-a-coral-reef-front-controlled-by-f-3599bac4,Offshore submarine groundwater discharge at a coral reef front controlled by faults,2019,ariel-c-blanco,pending-review,internal,
on-the-transferability-of-smart-energy-systems-on-off-grid-islands-using-clust-ad0aab24,On the transferability of smart energy systems on off-grid islands using cluster analysis–A case study for the Philippine archipelago,2019,ariel-c-blanco,pending-review,internal,
optimization-of-ground-control-point-gcp-configuration-for-unmanned-aerial-veh-802fd8de,Optimization of ground control point (GCP) configuration for unmanned aerial vehicle (UAV) survey using structure from motion (SFM),2019,ariel-c-blanco,pending-review,internal,
radiometric-calibration-of-landsat-8-oli-and-sentinel-2-msi-images-for-water-q-b45ffeab,"Radiometric Calibration of LANDSAT-8 Oli and SENTINEL-2 MSI Images for Water Quality Modelling of Laguna Lake, Philippines",2019,ariel-c-blanco,pending-review,internal,
simulating-species-dominance-in-mixed-mangrove-forests-considering-species-spe-374fc713,"Simulating species dominance in mixed mangrove forests considering species-specific responses to shading, salinity, and inundation frequency",2019,ariel-c-blanco,pending-review,internal,
spatial-and-temporal-analysis-of-monthly-water-consumption-and-land-surface-te-54f05b0c,Spatial and temporal analysis of monthly water consumption and land surface temperature (LST) derived using landsat 8 and modis data,2019,ariel-c-blanco,pending-review,internal,
spatial-and-temporal-community-detection-of-car-mobility-network-in-metro-mani-e034d81e,Spatial and Temporal Community Detection of Car Mobility Network in Metro Manila,2019,ariel-c-blanco,pending-review,internal,
spatio-temporal-analysis-of-urban-heat-island-in-mandaue-city-philippines-2019-2ed255cb,"Spatio-temporal analysis of urban heat island in Mandaue City, Philippines",2019,ariel-c-blanco,pending-review,internal,
spatiotemporal-analysis-of-the-urban-cooling-island-uci-effect-of-water-spaces-752e2d5d,Spatiotemporal analysis of the urban cooling island (UCI) effect of water spaces in a highly urbanized city: a case study of iloilo river and adjacent wetlands,2019,ariel-c-blanco,pending-review,internal,
spatiotemporal-multi-satellite-biophysical-data-analysis-of-the-effect-of-urba-44d83585,"Spatiotemporal multi-satellite biophysical data analysis of the effect of urbanization on land surface and air temperature in Baguio City, Philippines",2019,ariel-c-blanco,pending-review,internal,
urban-effects-on-land-surface-temperature-in-davao-city-philippines-2019-fd26caa9,"Urban effects on land surface temperature in Davao City, Philippines",2019,ariel-c-blanco,pending-review,internal,
using-openly-sourced-3d-geographic-information-systems-gis-in-determining-the-62d8b232,Using openly sourced 3D geographic information systems (GIS) in determining the photovoltaic potential of Quezon City Hall in terms of received direct solar radiation,2019,ariel-c-blanco,pending-review,internal,
co-evolution-of-landscape-forest-and-soil-in-a-planted-mangrove-eco-park-in-ka-862e90cd,"Co-Evolution of Landscape, Forest, and Soil in a Planted Mangrove Eco-Park in Kalibo, Philippines",2020,ariel-c-blanco,pending-review,internal,
development-and-application-of-a-new-mangrove-vegetation-index-mvi-for-rapid-a-6a323228,Development and application of a new mangrove vegetation index (MVI) for rapid and accurate mangrove mapping,2020,ariel-c-blanco,pending-review,internal,
estimation-of-chl-a-concentration-in-laguna-lake-using-sentinel-3-olci-images-73ffbb5d,Estimation of chl-a concentration in laguna lake using sentinel-3 olci imageS,2020,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
evaluation-of-object-based-classification-methods-for-mapping-benthic-habitats-6aa80257,Evaluation of object-based classification methods for Mapping Benthic habitats using Bathymetric LiDAR derivatives,2020,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
investigating-the-effects-of-river-discharges-on-submerged-aquatic-vegetation-8abaae0f,Investigating the effects of river discharges on submerged aquatic vegetation using UAV images and GIS techniques,2020,ayin-m-tamondong,pending-review,internal,
land-cover-monitoring-of-laguna-lake-watershed-using-modis-ndvi-data-2020-218f218a,Land cover monitoring of laguna lake watershed using MODIS NDVI data,2020,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
modelling-and-simulation-of-potential-future-urbanization-scenarios-and-its-ef-3af05928,"Modelling and simulation of potential future urbanization scenarios and its effect on the microclimate of lower session road, baguio city",2020,ariel-c-blanco,pending-review,internal,
modelling-of-land-surface-temperature-using-gray-level-co-occurrence-matrix-an-d939bc98,Modelling of land surface temperature using gray level co-occurrence matrix and random forest regression,2020,ariel-c-blanco|john-emmanuel-d-escoto,pending-review,internal,Deduplicated from 2 identical title/year source rows.
optmization-of-bio-optical-model-parameters-for-turbid-lake-water-quality-esti-212bfe53,Optmization of bio-optical model parameters for turbid lake water quality estimation using Landsat 8 and wasi-2D,2020,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
spatial-disaggregation-of-landsat-derived-land-surface-temperature-over-a-hete-8f748bed,Spatial disaggregation of Landsat-derived land surface temperature over a heterogeneous urban landscape using planetscope image derivatives,2020,ariel-c-blanco,pending-review,internal,
spectral-and-spatial-kernel-water-quality-mapping-2020-d717172c,Spectral and spatial kernel water quality mapping,2020,ariel-c-blanco,pending-review,internal,
waternet-a-convolutional-neural-network-for-chlorophyll-a-concentration-retrie-c34434a8,WaterNet: A convolutional neural network for chlorophyll-a concentration retrieval,2020,ariel-c-blanco,pending-review,internal,
ashfall-dispersal-mapping-of-the-2020-taal-volcano-eruption-using-diwata-2-ima-78235713,Ashfall dispersal mapping of the 2020 Taal Volcano eruption using Diwata-2 Imagery for disaster assessment,2021,erica-erin-e-elazegui,pending-review,internal,
assessment-of-pine-forest-condition-towards-early-detection-and-monitoring-of-cfec9684,Assessment of Pine Forest Condition Towards Early Detection and Monitoring of Stress Through a Synergistic Use of Sentinel-1 and Sentinel-2 Imagery,2021,ariel-c-blanco,pending-review,internal,
blue-carbon-ecosystem-services-through-a-vulnerability-lens-opportunities-to-r-a02e3f31,Blue carbon ecosystem services through a vulnerability lens: opportunities to reduce social vulnerability in fishing communities,2021,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
development-of-a-digital-twin-for-the-monitoring-of-smart-cities-using-open-so-9a20ef2d,Development of a digital twin for the monitoring of smart cities using open-source software,2021,john-emmanuel-d-escoto,pending-review,internal,
development-of-a-framework-for-a-functional-structural-seagrass-transplantatio-1461f6c9,Development of a Framework for a Functional-Structural Seagrass Transplantation Simulation using GAMA Platform.,2021,ariel-c-blanco,pending-review,internal,
development-of-a-rapid-mangrove-zonation-mapping-workflow-using-sentinel-2-der-c796b9e8,Development of a rapid mangrove zonation mapping workflow using Sentinel 2-derived indices and biophysical dataset,2021,ariel-c-blanco,pending-review,internal,
development-of-the-im4manilabay-mapable-web-portal-2021-d8a1336e,Development of the IM4MANILABAY Mapable Web Portal,2021,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
development-of-the-masdan-mobile-application-and-web-based-gis-interface-for-t-a4d35267,Development of the Masdan Mobile Application and Web-Based GIS Interface for the Monitoring and Management of the Manila Bay Environment,2021,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
evaluation-of-the-cooling-effect-of-green-and-blue-spaces-on-urban-microclimat-a47d5ab4,"Evaluation of the cooling effect of green and blue spaces on urban microclimate through numerical simulation: A case study of Iloilo River Esplanade, Philippines",2021,ariel-c-blanco,pending-review,internal,
improving-the-consistency-of-multi-temporal-land-cover-mapping-of-laguna-lake-f6fafa7f,"Improving the consistency of multi-temporal land cover mapping of Laguna lake watershed using light gradient boosting machine (LightGBM) approach, change detection analysis, and Markov chain",2021,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
limitation-assessment-and-workflow-refinement-of-the-mangrove-vegetation-index-d7dd8e3c,Limitation assessment and workflow refinement of the mangrove vegetation index (MVI)-based mapping methodology using sentinel-2 imagery,2021,ariel-c-blanco,pending-review,internal,
mangrove-biomass-estimation-using-canopy-height-and-wood-density-in-the-south-8a0689c3,Mangrove biomass estimation using canopy height and wood density in the South East and East Asian regions,2021,ariel-c-blanco,pending-review,internal,
mapping-coloured-dissolved-organic-matter-in-manila-bay-using-sentinel-3-and-w-eecef37f,Mapping coloured dissolved organic matter in Manila Bay Using SENTINEL-3 and Wasi,2021,ariel-c-blanco,pending-review,internal,
modeling-seagrass-bed-dynamics-under-environmental-impacts-of-intensive-maricu-ec92a87e,"Modeling seagrass bed dynamics under environmental impacts of intensive mariculture activities in Bolinao and Anda, the Philippines",2021,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
monitoring-and-assessment-of-agri-urban-land-conversion-using-multi-sensor-rem-1baac209,Monitoring and assessment of agri-urban land conversion using multi-sensor remote sensing and GIS techniques,2021,ariel-c-blanco,pending-review,internal,
monitoring-post-disaster-mangrove-forest-recoveries-in-lawaan-balangiga-easter-8e9ba850,"Monitoring post-disaster mangrove forest recoveries in Lawaan-Balangiga, Eastern Samar using time series analysis of moisture and vegetation indices",2021,ariel-c-blanco,pending-review,internal,
multi-sensor-approach-to-leaf-area-index-estimation-using-statistical-machine-e33afb95,Multi-sensor approach to leaf area index estimation using statistical machine learning models: A case on mangrove forests,2021,ariel-c-blanco,pending-review,internal,
multi-task-convolution-neural-network-for-season-insensitive-chlorophyll-a-est-3891d2c9,Multi-task convolution neural network for season-insensitive chlorophyll-a estimation in inland water,2021,ariel-c-blanco,pending-review,internal,
pasig-river-water-quality-estimation-using-an-empirical-ordinary-least-squares-a569121c,Pasig river water quality estimation using an empirical ordinary least squares regression model of sentinel-2 satellite images,2021,ariel-c-blanco|john-emmanuel-d-escoto|jommer-m-medina,pending-review,internal,Deduplicated from 3 identical title/year source rows.
post-disaster-assessment-of-mangrove-forest-recovery-in-lawaan-balangiga-easte-38df9077,"Post-disaster assessment of mangrove forest recovery in lawaan-balangiga, eastern samar using ndvi time series analysis",2021,ariel-c-blanco,pending-review,internal,
preliminary-investigation-on-chlorophyll-a-and-total-suspended-matter-concentr-69fd04d6,Preliminary investigation on chlorophyll-a and total suspended matter concentration in manila bay using Himawari-8 ahi and Sentinel-3 olci C2RCC,2021,ariel-c-blanco,pending-review,internal,
present-day-vertical-land-movement-in-san-fernando-la-union-and-currimao-iloco-6480b168,"Present-day vertical land movement in San Fernando (La Union) and Currimao (Ilocos Norte), northwest Luzon, Philippines",2021,ariel-c-blanco,pending-review,internal,
project-sinag-solar-pv-resource-and-installation-assessment-using-geospatial-t-b9ff713f,Project SINAG: Solar PV Resource and Installation Assessment Using Geospatial Technologies,2021,ariel-c-blanco,pending-review,internal,
scaling-relations-and-substrate-conditions-controlling-the-complexity-of-rhizo-1e85f5b0,Scaling relations and substrate conditions controlling the complexity of Rhizophora prop root system,2021,ariel-c-blanco,pending-review,internal,
semi-automated-delineation-of-informal-settlement-structures-from-drone-rgb-im-811906ac,Semi-Automated Delineation of Informal Settlement Structures from Drone RGB Imagery Using Object-Based Image Analysis,2021,ariel-c-blanco,pending-review,internal,
spatio-temporal-mapping-and-analysis-of-mangrove-extents-around-manila-bay-usi-864d7d85,Spatio-temporal mapping and analysis of mangrove extents around Manila Bay using Landsat satellite imagery and Mangrove Vegetation Index (MVI),2021,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
supplementing-satellite-imagery-with-social-media-data-for-remote-reconnaissan-eed7ecf6,Supplementing satellite imagery with social media data for remote reconnaissance: A case study of the 2020 Taal volcano eruption,2021,erica-erin-e-elazegui,pending-review,internal,
the-retrieval-of-chlorophyll-a-concentrations-in-inland-water-using-convolutio-31e9a031,THE RETRIEVAL OF CHLOROPHYLL-A CONCENTRATIONS IN INLAND WATER USING CONVOLUTION NEURAL NETWORK ON SATELLITE IMAGERY,2021,ariel-c-blanco,pending-review,internal,
time-series-analysis-for-monitoring-seagrass-habitat-and-environment-in-busuan-01d160bb,"Time series analysis for monitoring seagrass habitat and environment in busuanga, Philippines using google earth engine",2021,ayin-m-tamondong,pending-review,internal,
utilization-of-sentinel-2-imagery-in-the-estimation-of-plastics-among-floating-66eba9a8,Utilization of Sentinel-2 imagery in the estimation of plastics among floating debris along the coast of Manila Bay,2021,ariel-c-blanco,pending-review,internal,
creating-value-from-philippine-space-activities-mobilizing-space-data-2022-7ba2537b,Creating Value from Philippine Space Activities: Mobilizing Space Data,2022,ariel-c-blanco,pending-review,internal,
evaluating-mitigation-strategies-for-urban-heat-island-in-mandaue-city-using-e-8296f63a,Evaluating mitigation strategies for urban heat island in Mandaue City using ENVI-met,2022,ariel-c-blanco,pending-review,internal,
field-measurement-and-prediction-of-drag-in-a-planted-rhizophora-mangrove-fore-db3119d9,Field Measurement and Prediction of Drag in a Planted Rhizophora Mangrove Forest,2022,ariel-c-blanco,pending-review,internal,
ground-deformation-analysis-caused-by-post-2013-earthquake-in-bohol-philippine-0753c3a3,"Ground deformation analysis caused by post-2013 earthquake in Bohol, Philippines: MDAI Bauzon et al.",2022,ariel-c-blanco,pending-review,internal,
integrated-gis-and-air-dispersion-modeling-approach-for-roadside-pollutant-map-d6504326,"Integrated GIS and air dispersion modeling approach for roadside pollutant mapping: a case study in Baguio City, Philippines",2022,ariel-c-blanco,pending-review,internal,
integrated-remote-sensing-and-coupled-watershed-ocean-vegetation-modeling-for-b733d392,"Integrated Remote Sensing and Coupled Watershed-Ocean-Vegetation Modeling for Seagrass Studies in Busuanga, Palawan, Philippines",2022,ayin-m-tamondong,pending-review,internal,
lake-water-level-variability-determination-from-sar-backscatter-of-discrete-ob-a072e5a4,"Lake water level variability determination from SAR backscatter of discrete objects, GNSS levelling and satellite altimetry",2022,ariel-c-blanco,pending-review,internal,
landfill-site-suitability-mapping-using-fuzzy-multi-criteria-decision-analysis-1079264e,"Landfill Site Suitability Mapping Using Fuzzy Multi-Criteria Decision Analysis and GIS: Case of Quezon City, Philippines",2022,ariel-c-blanco,pending-review,internal,
mapping-oil-spills-on-sea-surface-from-sentinel-2-images-using-principal-compo-bf9d7223,Mapping Oil Spills on Sea Surface from Sentinel 2 Images Using Principal Components and Categorical Boosting,2022,ariel-c-blanco,pending-review,internal,
modelling-the-chlorophyll-a-concentration-of-laguna-lake-using-himawari-8-sate-7a804e1b,Modelling the chlorophyll-a concentration of Laguna Lake using himawari-8 satellite imagery and machine learning algorithms for near real time monitoring,2022,ariel-c-blanco,pending-review,internal,
optimization-of-tree-positioning-to-maximize-walking-in-urban-outdoor-spaces-a-b349c114,Optimization of tree positioning to maximize walking in urban outdoor spaces: A modeling and simulation framework,2022,ariel-c-blanco,pending-review,internal,
quantifying-vertical-land-motion-at-tide-gauge-sites-using-permanent-scatterer-c80d8b14,Quantifying vertical land motion at tide gauge sites using permanent scatterer interferometric synthetic aperture radar and global navigation satellite system solutions,2022,ariel-c-blanco,pending-review,internal,
rapid-mapping-and-assessment-of-damages-due-to-typhoon-rai-using-sentinel-1-sy-72bfdb64,Rapid Mapping and Assessment of Damages Due to Typhoon Rai Using Sentinel-1 Synthetic Aperture Radar Data,2022,ariel-c-blanco,pending-review,internal,
seagrass-biomass-and-sediment-carbon-in-conserved-and-disturbed-seascape-2022-e6b8ca73,Seagrass biomass and sediment carbon in conserved and disturbed seascape,2022,ariel-c-blanco,pending-review,internal,
simulation-of-urban-heat-island-during-a-high-heat-event-using-wrf-urban-canop-c350be55,Simulation of urban heat island during a high-heat event using WRF urban canopy models: A case study for Metro Manila,2022,ariel-c-blanco,pending-review,internal,
typhoon-damage-mapping-using-normalized-differenced-spatial-autocorrelation-an-8337c251,Typhoon damage mapping using normalized differenced spatial autocorrelation and Planetscope image,2022,ariel-c-blanco,pending-review,internal,
a-comparative-analysis-of-machine-learning-and-index-based-approach-to-mangrov-0a4d8031,A COMPARATIVE ANALYSIS OF MACHINE LEARNING AND INDEX-BASED APPROACH TO MANGROVE EXTENT MAPPING,2023,ariel-c-blanco,pending-review,internal,
analysis-of-kriging-interpolation-models-for-particulate-matter-levels-in-the-31b70430,"ANALYSIS OF KRIGING INTERPOLATION MODELS FOR PARTICULATE MATTER LEVELS IN THE NATIONAL CAPITAL REGION, PHILIPPINES",2023,ayin-m-tamondong,pending-review,internal,
assessing-and-modelling-urban-heat-island-in-baguio-city-using-landsat-imagery-c70c16eb,Assessing and modelling urban heat Island in Baguio City using Landsat imagery and machine learning,2023,ariel-c-blanco,pending-review,internal,
assessment-of-mangrove-extent-extraction-accuracy-of-threshold-segmentation-ba-8818f617,Assessment of mangrove extent extraction accuracy of threshold segmentation-based indices using sentinel imagery,2023,ariel-c-blanco,pending-review,internal,
detailed-mapping-of-residential-land-use-in-quezon-city-using-sentinel-2-image-750eea2e,Detailed Mapping of Residential Land Use in Quezon City Using SENTINEL-2 Imagery: AN Analysis of Pixel-Based Image Classification Using Support Vector Machine,2023,ariel-c-blanco,pending-review,internal,
development-of-google-earth-engine-application-for-spatiotemporal-analysis-of-ba3606a4,"Development of Google Earth engine application for Spatiotemporal analysis of turbidity in Batan Estuary, Aklan through the harmonization of Landsat and SENTINEL-2 imagery",2023,ariel-c-blanco,pending-review,internal,
estimating-airborne-particulate-matter-in-the-national-capital-region-philippi-b59cf181,"ESTIMATING AIRBORNE PARTICULATE MATTER IN THE NATIONAL CAPITAL REGION, PHILIPPINES USING MULTIPLE LINEAR REGRESSION AND GRADIENT BOOSTING ALGORITHM ON MODIS MAIAC AEROSOL OPTICAL DEPTH",2023,ayin-m-tamondong,pending-review,internal,
estimation-of-mangrove-fractional-cover-from-multispectral-and-hyperspectral-d-08abbe2b,Estimation Of Mangrove Fractional Cover From Multispectral And Hyperspectral Data Using Mixture Tuned Matched Filtering,2023,ariel-c-blanco,pending-review,internal,
hotspot-analysis-and-comparison-between-satellite-derived-aerosol-optical-dept-5ce193af,Hotspot analysis and comparison between satellite-derived aerosol optical depth and ground-based particulate matter measurements in metro manila,2023,ayin-m-tamondong,pending-review,internal,
influence-of-the-el-ni-o-southern-oscillation-to-the-interannual-sea-level-var-17908acf,Influence of the El Niño Southern Oscillation to the interannual sea-level variability in the Philippine Sea,2023,ariel-c-blanco,pending-review,internal,
manila-bay-watershed-scorecard-a-gis-based-quantitative-watershed-health-asses-cb1f50ce,Manila Bay Watershed Scorecard: a Gis-Based Quantitative Watershed Health Assessment,2023,ariel-c-blanco,pending-review,internal,
mapping-multi-decadal-mangrove-forest-change-in-the-philippines-vegetation-ext-28e993ca,Mapping multi-decadal mangrove forest change in the Philippines: vegetation extent and impacts of anthropogenic and climate-related factors,2023,ariel-c-blanco,pending-review,internal,
modeling-flow-and-sediment-dynamics-in-an-estuarine-mangrove-forest-and-adjace-393804c6,Modeling flow and sediment dynamics in an estuarine mangrove forest and adjacent areas: the impact of mangrove forest dynamics on landscape evolution,2023,ariel-c-blanco,pending-review,internal,
philippines-case-study-two-looking-into-the-management-strategies-of-three-phi-a30e53a6,Philippines Case Study Two: Looking into the Management Strategies of Three Philippine National Integrated Protected Area System (NIPAS) Sites,2023,ariel-c-blanco,pending-review,internal,
rise-or-fall-how-local-factors-influence-coastal-sea-level-in-the-philippines-676317b8,Rise or fall? How local factors influence coastal sea level in the Philippines,2023,ariel-c-blanco,pending-review,internal,
small-satellites-for-disaster-and-environmental-monitoring-2023-2420f68b,Small Satellites for Disaster and Environmental Monitoring,2023,ariel-c-blanco,pending-review,internal,
spatio-temporal-analysis-and-modelling-of-dengue-incidences-in-quezon-city-usi-264d72f1,Spatio-temporal analysis and modelling of dengue incidences in Quezon City using ordinary least squares and spatial regression,2023,ariel-c-blanco,pending-review,internal,
spatio-temporal-analysis-of-decadal-mangrove-cover-and-fragmentation-in-region-45f741ed,"Spatio-temporal analysis of decadal mangrove cover and fragmentation in Region IV-B MIMAROPA, Philippines",2023,ariel-c-blanco,pending-review,internal,
spatio-temporal-characterization-of-manila-bay-using-optical-water-type-and-wa-cce5a946,Spatio-temporal characterization of Manila Bay using optical water type and water quality mapping using Sentinel-3 OLCI images,2023,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
spatiotemporal-analysis-of-satellite-based-trace-gases-concentrations-in-port-3b607d03,"SPATIOTEMPORAL ANALYSIS OF SATELLITE-BASED TRACE GASES CONCENTRATIONS IN PORT OF MANILA, PHILIPPINES",2023,ayin-m-tamondong,pending-review,internal,
surface-urban-heat-islands-and-related-health-risk-in-the-philippines-a-geospa-d01697ed,Surface urban heat islands and related health risk in the Philippines: A geospatial assessment using MODIS data,2023,ariel-c-blanco,pending-review,internal,
temporal-variation-of-threshold-segmentation-based-mangrove-mapping-indices-in-fd73d17c,Temporal variation of threshold segmentation-based mangrove mapping indices in Karimunjawa-Kemujan islands with Sentinel images,2023,ariel-c-blanco,pending-review,internal,
transformation-of-the-normalized-difference-chlorophyll-index-to-retrieve-chlo-e4d62fce,Transformation of the normalized difference chlorophyll index to retrieve chlorophyll-a concentrations in Manila Bay,2023,ariel-c-blanco,pending-review,internal,
3d-reconstruction-of-the-fort-santiago-dungeons-using-handheld-laser-scanning-b94ea892,3d reconstruction of the fort santiago dungeons using handheld laser scanning method,2024,ayin-m-tamondong,pending-review,internal,
advancing-blue-carbon-knowledge-leveraging-geomatics-for-capacity-building-thr-17c5b09d,Advancing blue carbon knowledge: Leveraging geomatics for capacity building through the bluecares project,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
assessment-of-the-vulnerability-of-coastal-agriculture-to-seawater-intrusion-u-ded93b1e,"Assessment of the vulnerability of coastal agriculture to seawater intrusion using remote sensing, GIS, and Multi-Criteria Decision Analysis",2024,ariel-c-blanco,pending-review,internal,
comparative-analysis-of-prisma-hyperspectral-and-sentinel-2-multispectral-imag-f1c4b81a,Comparative analysis of Prisma hyperspectral and Sentinel-2 multispectral images for Chlorophyll-a and turbidity mapping of Taal lake,2024,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
comparative-analysis-of-random-forest-and-support-vector-machine-for-benthic-h-1be9c999,Comparative analysis of random forest and support vector machine for benthic habitat segmentation,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
coral-bleaching-detection-using-prisma-hyperspectral-satellite-imagery-in-cala-b9d733b5,"Coral Bleaching Detection Using PRISMA Hyperspectral Satellite Imagery in Calatagan, Batangas",2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
development-of-land-use-regression-models-for-particulate-matter-estimation-in-9782bd51,"Development of land-use regression models for particulate matter estimation in National Capital Region, Philippines",2024,ayin-m-tamondong,pending-review,internal,
development-of-methodology-for-monitoring-and-assessing-the-national-greening-7d111326,Development of methodology for monitoring and assessing the national greening program using optical and SAR data,2024,ariel-c-blanco,pending-review,internal,
drones4bluecarbonseagrass-a-capacity-building-program-for-mapping-seagrasses-u-09d55380,DRONES4BLUECARBONSEAGRASS: A Capacity-Building Program for Mapping Seagrasses using Unmanned Aerial System (UAS) Technology in the Philippines,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
eighth-geoinformation-science-symposium-2023-geoinformation-science-for-sustai-586fe7ba,Eighth Geoinformation Science Symposium 2023: Geoinformation Science for Sustainable Planet,2024,ariel-c-blanco,pending-review,internal,
enhancement-of-the-field-assessment-protocols-and-suitability-maps-for-coconut-8aa6d959,Enhancement of the Field Assessment Protocols and Suitability Maps for Coconut,2024,ariel-c-blanco,pending-review,internal,
enhancing-government-capacity-for-air-quality-management-in-the-philippines-th-2129375d,Enhancing Government Capacity for Air Quality Management in the Philippines through Geospatial Technologies: A Case of Project AiRMoVE,2024,ayin-m-tamondong,pending-review,internal,
fishpond-status-mapping-using-radar-remote-sensing-2024-b1ea1afd,Fishpond status mapping using radar remote sensing,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
increasing-the-awareness-of-the-benefits-of-earth-observation-applications-thr-90916ecc,Increasing the Awareness of the Benefits of Earth Observation Applications through the Space Information Infrastructure Capacity Building and Training Program (SIICaP),2024,ariel-c-blanco,pending-review,internal,
