publication_id,title,year,research_themes,geomatics_approaches,taxonomy_status,review_notes
advancing-blue-carbon-knowledge-leveraging-geomatics-for-capacity-building-thr-17c5b09d,Advancing blue carbon knowledge: Leveraging geomatics for capacity building through the bluecares project,2024,coastal-marine-systems|urban-sustainable-systems,,multiple themes,
assessment-of-the-vulnerability-of-coastal-agriculture-to-seawater-intrusion-u-ded93b1e,"Assessment of the vulnerability of coastal agriculture to seawater intrusion using remote sensing, GIS, and Multi-Criteria Decision Analysis",2024,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|gis-spatial-analytics,multiple themes,
comparative-analysis-of-random-forest-and-support-vector-machine-for-benthic-h-1be9c999,Comparative analysis of random forest and support vector machine for benthic habitat segmentation,2024,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science,multiple themes,
development-of-methodology-for-monitoring-and-assessing-the-national-greening-7d111326,Development of methodology for monitoring and assessing the national greening program using optical and SAR data,2024,,earth-observation-remote-sensing,no theme,
drones4bluecarbonseagrass-a-capacity-building-program-for-mapping-seagrasses-u-09d55380,DRONES4BLUECARBONSEAGRASS: A Capacity-Building Program for Mapping Seagrasses using Unmanned Aerial System (UAS) Technology in the Philippines,2024,coastal-marine-systems|urban-sustainable-systems,lidar-photogrammetry-3d-geomatics,multiple themes,
eighth-geoinformation-science-symposium-2023-geoinformation-science-for-sustai-586fe7ba,Eighth Geoinformation Science Symposium 2023: Geoinformation Science for Sustainable Planet,2024,,,no theme,
enhancing-government-capacity-for-air-quality-management-in-the-philippines-th-2129375d,Enhancing Government Capacity for Air Quality Management in the Philippines through Geospatial Technologies: A Case of Project AiRMoVE,2024,urban-sustainable-systems|water-air-environmental-quality,gis-spatial-analytics,multiple themes,
integration-of-stumpf-s-ratio-model-and-random-forest-for-satellite-derived-ba-9a746a0b,Integration of Stumpf's ratio model and random forest for satellite-derived bathymetry estimation,2024,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|geoai-spatial-data-science,multiple themes,
investigating-the-relationship-of-water-quality-on-land-cover-change-in-boraca-36a6e44b,Investigating the Relationship of Water Quality on Land Cover Change in Boracay Island,2024,ecosystems-biodiversity-land-change|water-air-environmental-quality,,multiple themes,
onion-mapping-using-prisma-hyperspectral-image-comparative-analysis-of-k-means-82fc9834,Onion mapping using PRISMA hyperspectral image: comparative analysis of K-means classification and linear spectral unmixing,2024,,earth-observation-remote-sensing|geoai-spatial-data-science,no theme,
site-suitability-analysis-of-salt-farms-in-pangasinan-using-geospatial-data-an-ca33e9dd,Site Suitability Analysis of Salt Farms in Pangasinan Using Geospatial Data and Analytic Hierarchy Process,2024,,gis-spatial-analytics,no theme,
space-data-dashboard-empowering-institutions-and-citizens-with-seamless-space-d5f93c63,Space+ data dashboard: Empowering institutions and citizens with seamless space data access,2024,,geovisualization-decision-support,no theme,
validating-the-philippine-mangrove-map-2023-through-capacity-building-and-crow-29aed7c9,Validating the Philippine Mangrove Map 2023 through capacity building and crowdsourcing,2024,coastal-marine-systems|urban-sustainable-systems,,multiple themes,
aboveground-biomass-estimation-of-an-old-growth-mangrove-forest-using-airborne-a3ab47da,Aboveground biomass estimation of an old‐growth mangrove forest using airborne LiDAR in the Philippines,2025,coastal-marine-systems|ecosystems-biodiversity-land-change,lidar-photogrammetry-3d-geomatics,multiple themes,
impact-of-land-cover-change-on-hydrology-and-coastal-water-quality-a-case-stud-d337d40e,Impact of Land Cover Change on Hydrology and Coastal Water Quality: a Case Study of the Agno River Basin Using Swat,2025,coastal-marine-systems|ecosystems-biodiversity-land-change|water-air-environmental-quality,environmental-spatial-modeling,multiple themes,
mapping-the-benthic-habitats-of-boracay-and-santa-cruz-islands-philippines-usi-faa1deb8,"Mapping the benthic habitats of Boracay and Santa Cruz Islands, Philippines using Sentinel-2 imagery and random forest classification in Google Earth Engine",2025,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|geoai-spatial-data-science,multiple themes,
assessing-the-impact-of-sun-glint-on-seagrass-and-benthic-habitat-classificati-f4179baf,Assessing the Impact of Sun Glint on Seagrass and Benthic Habitat Classification Accuracy across various Algorithms using PlanetScope Imagery,2026,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|geoai-spatial-data-science,multiple themes,
assessing-the-relationship-between-coastal-reclamation-and-seagrass-ecosystems-f7d54864,"Assessing the Relationship between Coastal Reclamation and Seagrass Ecosystems in Coron, Palawan using Multitemporal Remote Sensing, Shoreline Change Analysis, and Turbidity Mapping",2026,coastal-marine-systems|water-air-environmental-quality,earth-observation-remote-sensing,multiple themes,
defining-fire-regime-in-palawan-philippines-using-satellite-based-fire-and-bur-7c7b5e85,"Defining Fire Regime in Palawan, Philippines using Satellite-based Fire and Burned Area Products",2026,climate-hazards-resilience|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
estimating-and-mapping-mangrove-aboveground-biomass-in-zambales-province-north-2c090856,"Estimating and Mapping Mangrove Aboveground Biomass in Zambales Province, Northwest Philippines using Ensemble Modeling on Fusion of Open Satellite Data​",2026,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling,multiple themes,
evaluating-machine-learning-algorithms-for-onion-mapping-in-nueva-ecija-philip-5d71450a,"Evaluating Machine Learning Algorithms for Onion Mapping in Nueva Ecija, Philippines Using Sentinel-2 Imagery",2026,,earth-observation-remote-sensing|geoai-spatial-data-science,no theme,
green-green-grass-of-home-a-gis-based-analysis-of-greenspace-accessibility-in-7d788fa9,"Green, Green Grass of Home: A GIS-Based Analysis of Greenspace Accessibility in Quezon City",2026,ecosystems-biodiversity-land-change|urban-sustainable-systems,gis-spatial-analytics,multiple themes,
habitat-suitability-modeling-of-seagrass-on-santiago-island-pangasinan-using-s-b2fd9e90,"Habitat Suitability Modeling of Seagrass on Santiago Island, Pangasinan Using Satellite Imagery-Derived Environmental Parameters",2026,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling|gis-spatial-analytics,multiple themes,
mapping-the-unseen-the-impact-of-urban-sprawl-on-no2-co-and-o3-pollutants-in-c-9f160dae,"Mapping the Unseen: The Impact of Urban Sprawl on NO2, CO, and O3 Pollutants in Cavite Using Sentinel-2 and Sentinel-5P from 2020 to 2023",2026,urban-sustainable-systems|water-air-environmental-quality,earth-observation-remote-sensing,multiple themes,
modeling-land-surface-temperature-lst-and-surface-urban-heat-islands-suhi-in-t-1b8fbed7,Modeling Land Surface Temperature (LST) and Surface Urban Heat Islands (SUHI) in Taguig City (Philippines) using Material Distribution Derived from Linear Spectral Unmixing of PRISMA Hyperspectral Data,2026,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,multiple themes,
post-disaster-building-damage-assessment-using-3d-surface-models-derived-from-bb0f4d22,Post-Disaster Building Damage Assessment Using 3D Surface Models Derived from Unmanned Aerial Vehicle (UAV) Imagery,2026,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,multiple themes,
spatial-and-socioeconomic-drivers-of-land-use-change-in-high-density-residenti-d3f8dcc1,Spatial and Socioeconomic Drivers of Land Use Change in High-Density Residential Areas (R-3) in Quezon City: A Predictive Simulation Using the Cellular Automata-Markov Chain Model,2026,ecosystems-biodiversity-land-change|urban-sustainable-systems,environmental-spatial-modeling|geoai-spatial-data-science,multiple themes,
spatiotemporal-analysis-of-the-potential-impact-of-the-masinloc-power-plant-on-222e13ba,"Spatiotemporal Analysis of the Potential Impact of the Masinloc Power Plant on the Thermal Pollution in Oyon Bay, Zambales, and its Correlation to the Seagrass Cover",2026,coastal-marine-systems|water-air-environmental-quality,gis-spatial-analytics,multiple themes,
