publicationId,title,year,authors,sourceOrVenue,publicationType,doi,url,facultyRelationships,researchThemes,geomaticsApproaches,visibility,bibliographicStatus,sourceProvenance,internalNotes,sourceRows,sourceReviewStatuses
multi-agent-geo-simulation-of-building-evacuation-from-3dgis-dataset-of-melcho-3dd4644c,"MULTI-AGENT GEO-SIMULATION OF BUILDING EVACUATION FROM 3DGIS DATASET OF MELCHOR HALL, UP DILIMAN",2015,AC Blanco,11th Engineering Research and Development for Technology Conference,other,,,ariel-c-blanco,urban-sustainable-systems,environmental-spatial-modeling|gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,199,READY - supported title and year
object-based-image-analysis-for-benthic-habitat-mapping-using-lidar-derivative-f688a4e2,Object-Based Image Analysis for Benthic Habitat Mapping using LiDAR Derivatives,2015,"IE CADALZO, C CRUZ, GA GO, A TAMONDONG",,other,,,ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,297,READY - supported title and year
object-based-image-analysis-for-mangroves-extraction-using-lidar-datasets-and-65061e15,Object-based image analysis for mangroves extraction using LIDAR datasets and orthophoto,2015,"RL Jalbuena, RV Peralta, AM Tamondong",Asian Association on Remote Sensing,other,,,ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,242,READY - supported title and year
the-phil-lidar-2-program-national-resource-inventory-of-the-philippines-using-c42abbf8,The Phil-LiDAR 2 program: National resource inventory of the Philippines using LiDAR and other remotely sensed data,2015,"AC Blanco, AM Tamondong, AMC Perez, M Ang, EC Paringit","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprsarchives-xl-7-w3-1123-2015,https://doi.org/10.5194/isprsarchives-xl-7-w3-1123-2015,ariel-c-blanco|ayin-m-tamondong,,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"16,236",READY - supported title and year
the-phil-lidar-2-program-national-resource-inventory-of-the-philippines-using-61ba2bf3,The Phil-LiDAR 2 Program: National resource inventory of the Philippines using LiDAR and other remotely sensed Data. The International Archives of the Photogrammetry,2015,"AC Blanco, AM Tamondong, AMC Perez, M Ang, EC Paringit","Remote Sensing and Spatial Information Sciences, XL-7-W3, 1123-1127",other,,,ayin-m-tamondong,,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,248,READY - supported title and year
a-framework-for-capacity-building-in-mapping-coastal-resources-using-remote-se-58429141,A framework for capacity building in mapping coastal resources using remote sensing in the Philippines,2016,"A Tamondong, C Cruz, T Ticman, R Peralta, GA Go, M Vergara, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprsarchives-xli-b6-149-2016,https://doi.org/10.5194/isprsarchives-xli-b6-149-2016,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems|urban-sustainable-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"155,277",READY - supported title and year
an-agent-based-approach-to-modeling-poverty-in-the-philippines-2016-70f113a1,An agent-based approach to modeling poverty in the Philippines,2016,"L Marquez, A Blanco, E Robles, J Ornos, M Marquez",,other,,,ariel-c-blanco,urban-sustainable-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,231,READY - supported title and year
assessment-of-point-cloud-analysis-in-improving-object-based-agricultural-land-8b3080a6,"Assessment of point cloud analysis in improving object-based agricultural land cover classification using discrete LIDAR data in Cabadbaran, Agusan del Norte, Philippines",2016,"TAM Rollan, AC Blanco",6th International Conference on Geographic Object-Based Image Analysis …,other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,geoai-spatial-data-science|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,133,READY - supported title and year
automated-calculation-of-cloud-cover-from-rgb-composite-of-landsat-8-and-diwat-3907b005,Automated calculation of cloud cover from rgb composite of landsat 8 and diwata-1 satellite imagery,2016,"MET Amado, A Tamondong",,other,,,ayin-m-tamondong,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,269,READY - supported title and year
design-of-a-free-and-open-source-data-processing-archiving-and-distribution-su-22dc5ef8,"DESIGN OF A FREE AND OPEN SOURCE DATA PROCESSING, ARCHIVING, AND DISTRIBUTION SUBSYSTEM FOR THE GROUND RECEIVING STATION OF THE PHILIPPINE SCIENTIFIC EARTH OBSERVATION MICRO-SATELLITE",2016,"RKD Aranas, BJD Jiao, BJP Magallon, MKF Ramos, JA Amado, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-XLI-B7-909-2016,https://doi.org/10.5194/isprs-archives-XLI-B7-909-2016,ayin-m-tamondong,,earth-observation-remote-sensing,internal,verified,Supplied Google Scholar profile copy,,276,READY - supported title and year
elucidating-factors-of-seagrass-fractional-cover-change-using-spatial-regressi-e289c38b,Elucidating factors of seagrass fractional cover change using spatial regression,2016,AC BLANCO,Proceedings of the 7th ASEAN Environmental Engineering Conference,other,,,ariel-c-blanco,coastal-marine-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,196,READY - supported title and year
georeferencing-uas-derivatives-through-point-cloud-registration-with-archived-0a6e97cf,Georeferencing UAS derivatives through point cloud registration with archived lidar datasets,2016,"M Magtalas, JCL Aves, AC Blanco","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,,gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,69,READY - supported title and year
landsat-based-detection-and-severity-analysis-of-burned-sugarcane-plots-in-tar-4fbd47f7,"Landsat-based detection and severity analysis of burned sugarcane plots in tarlac, philippines using differenced normalized burn ratio (dNBR)",2016,"AB Baloloy, AC Blanco, BS Gana, LC Olalia","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,49,READY - supported title and year
mangrove-classification-through-the-use-of-object-oriented-classification-and-086c2c9d,"Mangrove classification through the use of object oriented classification and support vector machine of lidar datasets: a case study in Naawan and Manticao, Misamis Oriental, Philippines",2016,"RL Jalbuena, RV Peralta, AM Tamondong",Earth Resources and Environmental Remote Sensing/GIS Applications VII 10005 …,other,10.1117/12.2241964,https://doi.org/10.1117/12.2241964,ayin-m-tamondong,coastal-marine-systems,geoai-spatial-data-science|lidar-photogrammetry-3d-geomatics,internal,verified,Supplied Google Scholar profile copy,,253,READY - supported title and year
mapping-of-coral-reefs-using-the-combined-bathymetric-lidar-and-casi-datasets-41d5d4fb,Mapping of coral reefs using the combined bathymetric lidar and CASI datasets (Conference Presentation),2016,"CA Cruz, AM Tamondong, GA Go","Remote Sensing of the Ocean, Sea Ice, Coastal Waters, and Large Water …",other,,,ayin-m-tamondong,coastal-marine-systems,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,294,READY - supported title and year
nationwide-natural-resource-inventory-of-the-philippines-using-lidar-strategie-96a9a411,"Nationwide natural resource inventory of the Philippines using LiDAR: strategies, progress, and challenges",2016,"AC Blanco, A Tamondong, AM Perez, MRC Ang, E Paringit, R Alberto, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprsarchives-xli-b6-105-2016,https://doi.org/10.5194/isprsarchives-xli-b6-105-2016,ariel-c-blanco|ayin-m-tamondong,,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"64,246",READY - supported title and year
rapid-assessment-of-seagrass-cover-change-using-mixture-tuned-matched-filterin-8e0d161b,RAPID ASSESSMENT OF SEAGRASS COVER CHANGE USING MIXTURE TUNED MATCHED FILTERING,2016,"AM Tamondong, AC Blanco, RR Quides",,other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"223,295",READY - supported title and year
rs-based-water-resources-inventory-of-the-philippines-capacity-building-effort-86bd5e8e,Rs-Based Water Resources Inventory of the Philippines: Capacity Building Efforts for Nationwide Implementation,2016,"AMC Perez, RM De La Cruz, NT Olfindo, NJB Borlongan, MM Felicen, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,134,READY - supported title and year
seagrass-cover-change-mapping-in-the-bolinao-anda-area-2016-3b3648d4,Seagrass Cover Change Mapping in the Bolinao-Anda Area,2016,"AC BLANCO, M Fortes, K NADAOKA",(No Title),other,,,ariel-c-blanco,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,,197,READY - supported title and year
species-diversity-of-tropical-seagrasses-affect-fish-assemblage-structures-aro-7059f324,"Species diversity of tropical seagrasses affect fish assemblage structures, around Santiago Island, Bolinao, northwestern Philippines",2016,"Y TANAKA, T Yorisue, K Honda, Y Nakamura, T Miyajima, GA Go, ...",,other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"198,296",READY - supported title and year
using-spatial-point-pattern-analysis-as-supplement-for-object-based-image-clas-fd119470,Using spatial point pattern analysis as supplement for object-based image classification of tree clusters,2016,"ELM Tanada, AC Blanco",6th International Conference on Geographic Object-Based Image Analysis …,other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,earth-observation-remote-sensing|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,156,READY - supported title and year
3d-visualization-of-mangrove-and-aquaculture-conversion-in-banate-bay-iloilo-2-71aff7d3,"3d visualization of mangrove and aquaculture conversion in Banate Bay, Iloilo",2017,"GA Domingo, MM Mallillin, AMC Perez, ARC Claridades, AM Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w5-53-2017,https://doi.org/10.5194/isprs-archives-xlii-4-w5-53-2017,ayin-m-tamondong,coastal-marine-systems,geovisualization-decision-support|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,251,READY - supported title and year
a-dynamic-model-to-assess-mariculture-induced-environmental-impacts-on-seagras-4ed74e55,"A dynamic model to assess mariculture-induced environmental impacts on seagrass beds along coasts of Bolinao and Anda, Philippines",2017,M Fortes,Japan Geoscience Union,other,,,ariel-c-blanco,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,,193,READY - supported title and year
assessing-the-vulnerability-of-agricultural-crops-to-riverine-floods-in-kalibo-36ca7aa4,"Assessing the Vulnerability of Agricultural Crops to Riverine Floods in Kalibo, Philippines using Composite Index Method.",2017,"RP Jose, RJ Apura, DM dela Torre, AC Blanco, PKD Cruz, TAM Rollan, ...","GISTAM, 184-194",other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,63,READY - supported title and year
combination-of-modis-vegetation-indices-grace-terrestrial-water-storage-change-3f36d25e,"Combination of MODIS Vegetation Indices, GRACE Terrestrial Water Storage Changes, and In-Situ Measurements for Drought Assessment in Cagayan River Basin, Philippines",2017,"AMC Perez, AC Blanco","JNRD-Journal of Natural Resources and Development 7, 45-55",other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,132,READY - supported title and year
comparative-assessment-of-water-column-correction-techniques-for-seagrass-mapp-166ef66c,Comparative Assessment of Water Column Correction Techniques for Seagrass Mapping Using Worldview-2 Image,2017,"A Tamondong, A Blanco, M Fortes",Philippine Engineering Journal 38 (2),other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"153,274",READY - supported title and year
creating-a-spectral-library-of-coastal-resources-in-the-philippines-2017-92daf551,CREATING A SPECTRAL LIBRARY OF COASTAL RESOURCES IN THE PHILIPPINES,2017,"C Cruz, DM dela Torre, A Tamondong, A Blanco",,other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"222,300",READY - supported title and year
development-of-mapping-design-for-agricultural-features-extracted-from-lidar-d-d0d6ebf8,Development of Mapping Design for Agricultural Features Extracted from LiDAR Datasets.,2017,"NB Gatdula, MV Jerez, TAM Rollan, RP Jose, CDU Caranza, JA Laurente, ...","GISTAM, 276-283",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,154,READY - supported title and year
exploring-climate-change-effects-on-watershed-sediment-yield-and-land-cover-ba-7e56288c,"EXPLORING CLIMATE CHANGE EFFECTS ON WATERSHED SEDIMENT YIELD AND LAND COVER-BASED MITIGATION MEASURES USING SWAT MODEL, RS AND GIS: CASE OF CAGAYAN RIVER BASIN, PHILIPPINES",2017,"JA Principe, AC Blanco",宇宙からの地球環境・災害のモニタリングとリスク評価: 生研フォーラム論文集= Monitoring of …,other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,195,READY - supported title and year
extraction-of-seagrass-biophysical-parameters-using-unmanned-aerial-systems-ua-01a2b9f9,EXTRACTION OF SEAGRASS BIOPHYSICAL PARAMETERS USING UNMANNED AERIAL SYSTEMS (UAS),2017,"A Tamondong, AG Dalagan, LA Manasan, R Ramos",,other,,,ayin-m-tamondong,coastal-marine-systems,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,299,READY - supported title and year
feature-extraction-and-descriptor-calculation-methods-for-automatic-georeferen-73f0f959,Feature extraction and descriptor calculation methods for automatic georeferencing of Philippines' first microsatellite imagery,2017,"MEA Tupas, JA Dasallas, BJD Jiao, BJP Magallon, JNH Sempio, ...","Image and Signal Processing for Remote Sensing XXIII 10427, 450-458",other,10.1117/12.2278177,https://doi.org/10.1117/12.2278177,ayin-m-tamondong,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,275,READY - supported title and year
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-12c515aa,Mangrove Forest Extent Mapping in Southwestern Luzon Using 2015 Landsat Imagery,2017,A Blanco,,other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,194,READY - supported title and year
nationwide-mapping-of-coastal-resources-in-the-philippines-using-remote-sensin-def124ae,Nationwide mapping of coastal resources in the Philippines using remote sensing,2017,"A Tamondong, C Cruz, KD Ticman, GA Go, R Peralta, MV Vergara, ...",Natural Resources Canada,other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"192,293",READY - supported title and year
quality-assessment-and-control-of-outputs-of-a-nationwide-agricultural-land-co-7078d826,Quality assessment and control of outputs of a nationwide agricultural land cover mapping program using LIDAR: PHIL-LIDAR 2 parmap experience,2017,"HM Pagkalinawan, NB Gatdula, RP Jose, TM Rollan, EM Tañada, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,114,READY - supported title and year
spectral-discrimination-of-coral-reef-environment-using-derivative-analysis-20-5eaf5d28,Spectral discrimination of coral reef environment using derivative analysis,2017,"C Cruz, A Tamondong, KD Ticman, GA Go, R Peralta, MV Vergara, ...",Natural Resources Canada,other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"191,292",READY - supported title and year
3d-visualization-of-building-interior-using-omnidirectional-images-2018-65769e81,3D Visualization of Building Interior using Omnidirectional Images,2018,"ARC Claridades, J Lee, AC Blanco",39th Asian Conference on Remote Sensing: Remote Sensing Enabling Prosperity …,other,,,ariel-c-blanco,urban-sustainable-systems,earth-observation-remote-sensing|geovisualization-decision-support|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,131,READY - supported title and year
a-blend-then-index-method-of-fusing-landsat-and-modis-satellite-images-using-e-07dd55d0,A BLEND-THEN-INDEX METHOD OF FUSING LANDSAT AND MODIS SATELLITE IMAGES USING ENCHANCED SPATIAL AND TEMPORAL ADAPTIVE REFLECTANCE FUSION MODEL (ESTARFM),2018,"MER Tagle, MA Manalili, AC Blanco, DMLDX Zhu",,other,,,ariel-c-blanco,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,229,READY - supported title and year
assessment-of-landsat-8-based-indices-for-water-quality-parameter-estimation-i-b4ab19ea,"Assessment of Landsat 8-based indices for water quality parameter estimation in Laguna de Bay, Philippines",2018,"KDV Ticman, JM Medina, EV Gubatanga, RL Jalbuena, JAS Santos, ...",Proceedings-39th Asian Conference on Remote Sensing: Remote Sensing Enabling …,other,,,ariel-c-blanco|jommer-m-medina,water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"89,323",READY - supported title and year
building-construction-progress-monitoring-using-unmanned-aerial-system-uas-low-e27b47d6,"Building construction progress monitoring using unmanned aerial system (UAS), low-cost photogrammetry, and geographic information system (GIS)",2018,"JR Bognot, CG Candido, AC Blanco, JRY Montelibano","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,urban-sustainable-systems,gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,13,READY - supported title and year
development-of-a-sentinel-2-based-mangroves-zonation-mapping-workflow-applicat-bac77913,Development of a Sentinel 2-Based Mangroves Zonation Mapping Workflow: Application in the Philippines and Japan,2018,"AC BLANCO, M Yoshikai, T Nakamura, K NADAOKA",(No Title),other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing|geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,189,READY - supported title and year
estimation-of-mangrove-forest-aboveground-biomass-using-multispectral-bands-ve-bc348dce,"ESTIMATION OF MANGROVE FOREST ABOVEGROUND BIOMASS USING MULTISPECTRAL BANDS, VEGETATION INDICES AND BIOPHYSICAL VARIABLES DERIVED FROM OPTICAL SATELLITE IMAGERIES: RAPIDEYE, PLANETSCOPE AND SENTINEL-2",2018,E Paringit,"ISPRS annals of the photogrammetry, remote sensing and spatial information …",other,10.5194/isprs-annals-IV-3-29-2018,https://doi.org/10.5194/isprs-annals-IV-3-29-2018,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,verified,Supplied Google Scholar profile copy,,2,READY - supported title and year
estimation-of-pm2-5-vertical-distribution-using-customized-uav-and-mobile-sens-6cdd4907,"ESTIMATION OF PM2.5 VERTICAL DISTRIBUTION USING CUSTOMIZED UAV AND MOBILE SENSORS IN BRGY. UP CAMPUS, DILIMAN, QUEZON CITY",2018,"JB Babaan, JP Ballori, AM Tamondong, RV Ramos, PM Ostrea","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w9-89-2018,https://doi.org/10.5194/isprs-archives-xlii-4-w9-89-2018,ayin-m-tamondong,urban-sustainable-systems|water-air-environmental-quality,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,238,READY - supported title and year
land-cover-change-and-the-use-of-soilgrids-data-for-assessing-flash-flood-in-m-f0efb855,"Land cover change and the use of SoilGrids data for assessing flash flood in Marikina river basin, The Philippines",2018,"DP Shrestha, BM Brebante, VG Jetten, E Herrera, AC Blanco, ...",AOGS-EGU Joint Conference: New Dimensions for Natural Hazards in Asia,other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,190,READY - supported title and year
modelling-above-ground-biomass-of-mangrove-forest-using-sentinel-1-imagery-201-d463582e,Modelling above ground biomass of mangrove forest using Sentinel-1 imagery,2018,"RJL Argamosa, AC Blanco, AB Baloloy, CG Candido, JBLC Dumalag, ...","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,11,READY - supported title and year
reef-scale-modeling-of-coral-calcification-responses-to-ocean-acidification-an-bd0b17b8,Reef-scale modeling of coral calcification responses to ocean acidification and sea-level rise,2018,"T Nakamura, K Nadaoka, A Watanabe, T Yamamoto, T Miyajima, ...","Coral Reefs 37 (1), 37-53",other,,,ariel-c-blanco,coastal-marine-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,30,READY - supported title and year
remote-sensing-based-estimation-of-seagrass-percent-cover-and-lai-for-above-gr-9a49364e,Remote sensing-based estimation of seagrass percent cover and LAI for above ground carbon sequestration mapping,2018,"A Tamondong, C Cruz, RR Quides, M Garcia, JA Cruz, J Guihawan, ...","Remote Sensing of the Open and Coastal Ocean and Inland Waters 10778, 1077803",other,10.1117/12.2324695,https://doi.org/10.1117/12.2324695,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"33,239",READY - supported title and year
using-omnidirectional-images-for-semi-automatically-generating-indoorgml-data-e78795fd,Using omnidirectional images for semi-automatically generating IndoorGML data,2018,"AR Claridades, J Lee, A Blanco","Journal of the Korean Society of Surveying, Geodesy, Photogrammetry and …",other,,,ariel-c-blanco,,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,62,READY - supported title and year
a-3dgis-multi-agent-geo-simulation-model-for-assessment-of-building-evacuation-f7049bca,A 3DGIS multi-agent geo-simulation model for assessment of building evacuation scenarios considering urgency and knowledge of exits,2019,"EG Macatulad, AC Blanco","International Journal of Urban Sciences 23 (3), 318-334",other,,,ariel-c-blanco,urban-sustainable-systems,environmental-spatial-modeling|gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,45,READY - supported title and year
analysis-of-the-impact-of-vegetation-distribution-urbanization-and-solar-radia-80807fc1,"ANALYSIS OF THE IMPACT OF VEGETATION DISTRIBUTION, URBANIZATION, AND SOLAR RADIATION ON THE SEASONAL VARIATION OF THE URBAN HEAT ISLAND EFFECT IN CEBU CITY USING LANDSAT AND GLOBAL HORIZONTAL IRRADIANCE DATA",2019,"SF Cañete, LL Schaap, R Andales, RES Otadoy, AC Blanco, J Babaan, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-XLII-4-W19-93-2019,https://doi.org/10.5194/isprs-archives-XLII-4-W19-93-2019,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change|urban-sustainable-systems,earth-observation-remote-sensing,internal,verified,Supplied Google Scholar profile copy,,85,READY - supported title and year
assessment-of-seagrass-percent-cover-and-water-quality-using-uav-images-and-fi-37e635a6,"Assessment of Seagrass Percent Cover and Water Quality Using Uav Images and Field Measurements in Bolinao, Pangasinan",2019,"M Guerrero, JAM Vivar, RV Ramos, AM Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w19-233-2019,https://doi.org/10.5194/isprs-archives-xlii-4-w19-233-2019,ayin-m-tamondong,coastal-marine-systems|water-air-environmental-quality,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,291,READY - supported title and year
bio-optical-modelling-of-laguna-lake-using-bomber-tool-and-wasi-derived-invert-246c95f8,Bio optical modelling of Laguna Lake using bomber tool and wasi-derived inverted parameters,2019,"RL Jalbuena, AC Blanco, A Manuel, RR Sta. Ana, JA Santos","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,,earth-observation-remote-sensing|environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,130,READY - supported title and year
canopy-cover-estimation-from-satellite-data-for-acacia-mangium-plantation-basa-8306e08f,"CANOPY COVER ESTIMATION FROM SATELLITE DATA FOR ACACIA MANGIUM PLANTATION BASAY, NEGROS ORIENTAL",2019,"FAM Tandoc, CJS Sarmiento, EC Paringit, AM Tamondong, FJO Pamittan, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w19-421-2019,https://doi.org/10.5194/isprs-archives-xlii-4-w19-421-2019,ayin-m-tamondong,ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,262,READY - supported title and year
chlorophyll-a-concentration-retrieval-using-convolutional-neural-networks-in-l-6ff91d79,"Chlorophyll-a concentration retrieval using convolutional neural networks in Laguna Lake, Philippines",2019,"MA Syariz, CH Lin, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,52,READY - supported title and year
correlation-of-uav-based-multispectral-vegetation-indices-and-leaf-color-chart-6362912a,Correlation of UAV-based multispectral vegetation indices and leaf color chart observations for nitrogen concentration assessment on rice crops,2019,"CM Bacsa, RM Martorillas, LP Balicanta, AM Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w19-31-2019,https://doi.org/10.5194/isprs-archives-xlii-4-w19-31-2019,ayin-m-tamondong,ecosystems-biodiversity-land-change,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,241,READY - supported title and year
estimation-of-chlorophyll-a-concentration-in-laguna-de-bay-using-sentinel-3-sa-539d3c47,Estimation of chlorophyll-a concentration in Laguna de Bay using Sentinel-3 satellite data,2019,"M Conopio, RK Japor, AC Blanco, AM Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w19-125-2019,https://doi.org/10.5194/isprs-archives-xlii-4-w19-125-2019,ariel-c-blanco|ayin-m-tamondong,water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"57,245",READY - supported title and year
estimation-of-chlorophyll-a-concentration-in-sampaloc-lake-using-uas-multispec-c37d299b,Estimation of chlorophyll-a concentration in Sampaloc Lake using Uas multispectral remote sensing and regression analysis,2019,"RMG Maravilla, JP Quinalayo, AC Blanco, CG Candido, EV Gubatanga, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,77,READY - supported title and year
